stemming,negation
dhemit is back anies ikut dalam kubur harun tahun ada berita itu apakah masih kata hoax padahal beliau ikut dalam kubur,"['dhemit', 'is', 'back', 'anies', 'ikut', 'dalam', 'kubur', 'harun', 'tahun', 'ada', 'berita', 'itu', 'apakah', 'masih', 'kata', 'hoax', 'padahal', 'beliau', 'ikut', 'dalam', 'kubur']"
anies baswedan jawab tanya debat dengan bukti nyata kerja yang sangat muas,"['anies', 'baswedan', 'jawab', 'tanya', 'debat', 'dengan', 'bukti', 'nyata', 'kerja', 'yang', 'sangat', 'muas']"
kangmaspri tobenaccro anies tuh cerdas utama soal janji transportasi jaklingko dan mau rekrut pak iganisus pula pilih dia sudah banyak tadi nya kurang bijak aja kenapa harus bawa ulama gimana kalo pendeta pastor pimpin agama lain juga di timbang opini nya kenapa hanya cuman ulama,"['kangmaspri', 'tobenaccro', 'anies', 'tuh', 'cerdas', 'utama', 'soal', 'janji', 'transportasi', 'jaklingko', 'dan', 'mau', 'rekrut', 'pak', 'iganisus', 'pula', 'pilih', 'dia', 'sudah', 'banyak', 'tadi', 'nya', 'kurang', 'bijak', 'aja', 'kenapa', 'harus', 'bawa', 'ulama', 'gimana', 'kalo', 'pendeta', 'pastor', 'pimpin', 'agama', 'lain', 'juga', 'di', 'timbang', 'opini', 'nya', 'kenapa', 'hanya', 'cuman', 'ulama']"
dahnilanzar karakter wowo vs anies jauh lah bang mbok legowo aja anies dapat simpati publik luas sedang wowo balik sederhana itu paham jgn sampai kita jd parasocial relationship disorder,"['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauh', 'lah', 'bang', 'mbok', 'legowo', 'aja', 'anies', 'dapat', 'simpati', 'publik', 'luas', 'sedang', 'wowo', 'balik', 'sederhana', 'itu', 'paham', 'jgn', 'sampai', 'kita', 'jd', 'parasocial', 'relationship', 'disorder']"
savicali kalau kita ga bisa kerja di bidang nya tapi jago nyindir orang lain anies,"['savicali', 'kalau', 'kita', 'tidak_bisa', 'kerja', 'di', 'bidang', 'nya', 'tapi', 'jago', 'nyindir', 'orang', 'lain', 'anies']"
andre rosiade paragraf satu udah dijelasin sama pa anies sendiri tonton geh video biar paham konteks ape ditelen mentah paragraf dua itu nama pamrih kata paling ikhlas ko ungkit lagi ko nyapres lagi paragraf tiga etika kata bro awokwokwok mending ngaca dulu dah,"['andre', 'rosiade', 'paragraf', 'satu', 'udah', 'dijelasin', 'sama', 'pa', 'anies', 'sendiri', 'tonton', 'geh', 'video', 'biar', 'paham', 'konteks', 'ape', 'ditelen', 'mentah', 'paragraf', 'dua', 'itu', 'nama', 'pamrih', 'kata', 'paling', 'ikhlas', 'ko', 'ungkit', 'lagi', 'ko', 'nyapres', 'lagi', 'paragraf', 'tiga', 'etika', 'kata', 'bro', 'awokwokwok', 'mending', 'ngaca', 'dulu', 'dah']"
tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
aldapstsr oh itu anak anies emang cantik banget senyum apalagi,"['aldapstsr', 'oh', 'itu', 'anak', 'anies', 'emang', 'cantik', 'banget', 'senyum', 'apalagi']"
anies selalu komitmen untuk wujud ubah positif demi baik masyarakat dan negara,"['anies', 'selalu', 'komitmen', 'untuk', 'wujud', 'ubah', 'positif', 'demi', 'baik', 'masyarakat', 'dan', 'negara']"
menang anies di gub dki di klaim penuh oleh prabowo dan gerindra baik dari dukung dan modal logistik turut andre rosiade sungguh sombong dengan hilang jasa dari partai lain rawan dan rakyat dki di pilgub dki mereka lebih jasa,"['menang', 'anies', 'di', 'gub', 'dki', 'di', 'klaim', 'penuh', 'oleh', 'prabowo', 'dan', 'gerindra', 'baik', 'dari', 'dukung', 'dan', 'modal', 'logistik', 'turut', 'andre', 'rosiade', 'sungguh', 'sombong', 'dengan', 'hilang', 'jasa', 'dari', 'partai', 'lain', 'rawan', 'dan', 'rakyat', 'dki', 'di', 'pilgub', 'dki', 'mereka', 'lebih', 'jasa']"
lama masa jabat bagai gubernur anies telah pimpin bagai proyek bangun untuk sejahtera rakyat,"['lama', 'masa', 'jabat', 'bagai', 'gubernur', 'anies', 'telah', 'pimpin', 'bagai', 'proyek', 'bangun', 'untuk', 'sejahtera', 'rakyat']"
anies baswedan ajak warga untuk tunjuk kuat bangsa dengan semangat juang,"['anies', 'baswedan', 'ajak', 'warga', 'untuk', 'tunjuk', 'kuat', 'bangsa', 'dengan', 'semangat', 'juang']"
pikir anies dalam debat perdana tidak sedikit yang mampu cipta ubah positif di masyarakat,"['pikir', 'anies', 'dalam', 'debat', 'perdana', 'tidak_sedikit', 'yang', 'mampu', 'cipta', 'ubah', 'positif', 'di', 'masyarakat']"
ndaphie ekowboy anies angkat alis nggak ada dan nggak pernah yg ada itu guna fakedeep aidasar para buzzer polri suka buat fitnah,"['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'nggak', 'ada', 'dan', 'nggak', 'pernah', 'yg', 'ada', 'itu', 'guna', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'suka', 'buat', 'fitnah']"
anies jd gubernur dan ikut pilpres krn ada prabowo anies calon nasdem apa salah nasdem jeli krn negara butuh sosok seperti anies dan rakyat ingin ubah untuk adil sosial bagi seluruh rakyat indonesia,"['anies', 'jd', 'gubernur', 'dan', 'ikut', 'pilpres', 'krn', 'ada', 'prabowo', 'anies', 'calon', 'nasdem', 'apa', 'salah', 'nasdem', 'jeli', 'krn', 'negara', 'butuh', 'sosok', 'seperti', 'anies', 'dan', 'rakyat', 'ingin', 'ubah', 'untuk', 'adil', 'sosial', 'bagi', 'seluruh', 'rakyat', 'indonesia']"
dengan bagai inisiatif dalam kembang jakarta anies telah jadi contoh nyata bagi banyak orang,"['dengan', 'bagai', 'inisiatif', 'dalam', 'kembang', 'jakarta', 'anies', 'telah', 'jadi', 'contoh', 'nyata', 'bagi', 'banyak', 'orang']"
kumpar aniesbaswedan ordal anies profesional dan integritas,"['kumpar', 'aniesbaswedan', 'ordal', 'anies', 'profesional', 'dan', 'integritas']"
paltiwest dee anies baswedan dan muhaimin iskandar dong untuk indonesia lebih baik,"['paltiwest', 'dee', 'anies', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'dong', 'untuk', 'indonesia', 'lebih', 'baik']"
dalam debat ada banyak buah pikir anies yang pada akhir memang benar benar manfaat untuk cerdas warga negara,"['dalam', 'debat', 'ada', 'banyak', 'buah', 'pikir', 'anies', 'yang', 'pada', 'akhir', 'memang', 'benar', 'benar', 'manfaat', 'untuk', 'cerdas', 'warga', 'negara']"
saludosparatii fullmoonfolks udah rahasia umum lah ga usah tutup bagaimana anies nikmat politik identitas ini dia betul betul ambil untung,"['saludosparatii', 'fullmoonfolks', 'udah', 'rahasia', 'umum', 'lah', 'tidak_usah', 'tutup', 'bagaimana', 'anies', 'nikmat', 'politik', 'identitas', 'ini', 'dia', 'betul', 'betul', 'ambil', 'untung']"
anies baswedan tuding capres banyak janji timnas amin janji kita ukur,"['anies', 'baswedan', 'tuding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'kita', 'ukur']"
raden mas budi heraloebss hanya org cerdas yg paham apa yg sampai pak anies tapi klo otak cetek males mikir pasti nilai njelimet,"['raden', 'mas', 'budi', 'heraloebss', 'hanya', 'org', 'cerdas', 'yg', 'paham', 'apa', 'yg', 'sampai', 'pak', 'anies', 'tapi', 'klo', 'otak', 'cetek', 'males', 'mikir', 'pasti', 'nilai', 'njelimet']"
tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
tan mar buzzerrp paslon no sudah habis akal  amp narasi untuk serang anies makanya pakai methode fitnah receh,"['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'habis', 'akal', '', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'receh']"
anies bangun jakarta yang lebih lanjut ramah lingkung dan pasti bahwa tumbuh kota beri manfaat bagi seluruh warga,"['anies', 'bangun', 'jakarta', 'yang', 'lebih', 'lanjut', 'ramah', 'lingkung', 'dan', 'pasti', 'bahwa', 'tumbuh', 'kota', 'beri', 'manfaat', 'bagi', 'seluruh', 'warga']"
andre rosiade janji sdh tdk tunai tdk nyapres lama masa aniesbaswedan jabat gub dki kalau sdh selesai ya selesai janji mission accomplished smp kpn pak anies boleh nyapres kl tiap priode prabowo kalah terus  amp nyapres terus etika koyol tau,"['andre', 'rosiade', 'janji', 'sdh', 'tdk', 'tunai', 'tdk', 'nyapres', 'lama', 'masa', 'aniesbaswedan', 'jabat', 'gub', 'dki', 'kalau', 'sdh', 'selesai', 'ya', 'selesai', 'janji', 'mission', 'accomplished', 'smp', 'kpn', 'pak', 'anies', 'boleh', 'nyapres', 'kl', 'tiap', 'priode', 'prabowo', 'kalah', 'terus', '', 'amp', 'nyapres', 'terus', 'etika', 'koyol', 'tau']"
geloraco foodeatate gagal pesawat tempur rongsok hutang kemenhan trilyunan adalah bentuk bengis pada juta lebih rakyat indonesia saya saran tim tkn tolong banyak cermin belum serang pak anies akhlak kalian sudah pada benar ya,"['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsok', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'bengis', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'saran', 'tim', 'tkn', 'tolong', 'banyak', 'cermin', 'belum', 'serang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'ya']"
yogi bubu masakanrasako ga bang aman anies pernah tegor rijik suruh bayar denda kok waktu buat kerumun pas covid itu bukti,"['yogi', 'bubu', 'masakanrasako', 'tidak_bang', 'aman', 'anies', 'pernah', 'tegor', 'rijik', 'suruh', 'bayar', 'denda', 'kok', 'waktu', 'buat', 'kerumun', 'pas', 'covid', 'itu', 'bukti']"
do adoo qronoz gw lagi gak bahas dki telah debat jujur gw udah lunak sama anies dan siap terima mungkin dia jadi presiden gw ngomong gitu telah baca ttg berita kontrak politik anyway seperti di twit awal gw dki negara,"['do', 'adoo', 'qronoz', 'gw', 'lagi', 'tidak_bahas', 'dki', 'telah', 'debat', 'jujur', 'gw', 'udah', 'lunak', 'sama', 'anies', 'dan', 'siap', 'terima', 'mungkin', 'dia', 'jadi', 'presiden', 'gw', 'ngomong', 'gitu', 'telah', 'baca', 'ttg', 'berita', 'kontrak', 'politik', 'anyway', 'seperti', 'di', 'twit', 'awal', 'gw', 'dki', 'negara']"
indra kurnia prabusantoso sobat anies partaisocmed iya tapi kok disurvey kok bisa unggul ya,"['indra', 'kurnia', 'prabusantoso', 'sobat', 'anies', 'partaisocmed', 'iya', 'tapi', 'kok', 'disurvey', 'kok', 'bisa', 'unggul', 'ya']"
ch chotimah buni yani kata yang potong video pidato ahok adalah tim cybernya prabowo jadi ketimbang anies yg tak punya masa maka yg lebih bertanggungjawab harus prabowo yg gera kelompok brutal,"['ch', 'chotimah', 'buni', 'yani', 'kata', 'yang', 'potong', 'video', 'pidato', 'ahok', 'adalah', 'tim', 'cybernya', 'prabowo', 'jadi', 'ketimbang', 'anies', 'yg', 'tidak_punya', 'masa', 'maka', 'yg', 'lebih', 'bertanggungjawab', 'harus', 'prabowo', 'yg', 'gera', 'kelompok', 'brutal']"
muhammad saewad la emang usung anies pkb nasdem oposisi,"['muhammad', 'saewad', 'la', 'emang', 'usung', 'anies', 'pkb', 'nasdem', 'oposisi']"
bukanbuzzerrp partaisocmed buzzer anies yang follower ribu juga klo tweet di bayar ya,"['bukanbuzzerrp', 'partaisocmed', 'buzzer', 'anies', 'yang', 'follower', 'ribu', 'juga', 'klo', 'tweet', 'di', 'bayar', 'ya']"
tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
chadlvn arsipaja anies bagus sebenernya itu kunci sih ka yg belakang jg ga bisa ngapa in kecuali kalau aniesnya yg busuk baru bahaya kalau presiden skrg saya ga berani komen yg kasar khawatir knp,"['chadlvn', 'arsipaja', 'anies', 'bagus', 'sebenernya', 'itu', 'kunci', 'sih', 'ka', 'yg', 'belakang', 'jg', 'tidak_bisa', 'ngapa', 'in', 'kecuali', 'kalau', 'aniesnya', 'yg', 'busuk', 'baru', 'bahaya', 'kalau', 'presiden', 'skrg', 'saya', 'tidak_berani', 'komen', 'yg', 'kasar', 'khawatir', 'knp']"
bospurwa gak layak jadi presiden pantesan gak pernah menang dulu saya dukung karena hanya pilih sekarang anies paling layak dari semua,"['bospurwa', 'tidak_layak', 'jadi', 'presiden', 'pantesan', 'tidak_pernah', 'menang', 'dulu', 'saya', 'dukung', 'karena', 'hanya', 'pilih', 'sekarang', 'anies', 'paling', 'layak', 'dari', 'semua']"
taufikrendusara dulu sih kali milih dia sekarang sih udah makin yakin pilih anies,"['taufikrendusara', 'dulu', 'sih', 'kali', 'milih', 'dia', 'sekarang', 'sih', 'udah', 'makin', 'yakin', 'pilih', 'anies']"
anies baswedan tuding capres banyak janji timnas amin janji kita ukur,"['anies', 'baswedan', 'tuding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'kita', 'ukur']"
anies baswedan tuding capres banyak janji timnas amin janji kita ukur,"['anies', 'baswedan', 'tuding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'kita', 'ukur']"
wkwkwk dukung anies kek gin,"['wkwkwk', 'dukung', 'anies', 'kek', 'gin']"
vivacoid waktu debat perdana pak anies tunjuk bagai politis yang intelek dengan setel jas dan peci,"['vivacoid', 'waktu', 'debat', 'perdana', 'pak', 'anies', 'tunjuk', 'bagai', 'politis', 'yang', 'intelek', 'dengan', 'setel', 'jas', 'dan', 'peci']"
bungdree tvonenews kikysaputrii aniesbaswedan yg sampai kiky malah bagus kok justru puji anies,"['bungdree', 'tvonenews', 'kikysaputrii', 'aniesbaswedan', 'yg', 'sampai', 'kiky', 'malah', 'bagus', 'kok', 'justru', 'puji', 'anies']"
vivacoid lihat dalam debat anies selalu milik mampu rancang dan terap solusi solusi kreatif,"['vivacoid', 'lihat', 'dalam', 'debat', 'anies', 'selalu', 'milik', 'mampu', 'rancang', 'dan', 'terap', 'solusi', 'solusi', 'kreatif']"
vivacoid lama debat anies milik banyak solusi kena masalah timpang yang jadi di indonesia,"['vivacoid', 'lama', 'debat', 'anies', 'milik', 'banyak', 'solusi', 'kena', 'masalah', 'timpang', 'yang', 'jadi', 'di', 'indonesia']"
tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
vivacoid lama debat nya anies kenal program program untuk solusi dari masalah yang ada seperti dalam penididikan transportasi lingkung,"['vivacoid', 'lama', 'debat', 'nya', 'anies', 'kenal', 'program', 'program', 'untuk', 'solusi', 'dari', 'masalah', 'yang', 'ada', 'seperti', 'dalam', 'penididikan', 'transportasi', 'lingkung']"
romeogadungan seinget ku itu yg datang makruf amin sama jokowi anies ga ada datang acara di monas,"['romeogadungan', 'seinget', 'ku', 'itu', 'yg', 'datang', 'makruf', 'amin', 'sama', 'jokowi', 'anies', 'tidak_ada', 'datang', 'acara', 'di', 'monas']"
vivacoid anies dominasi debat pertama dengan retorika yang baik dia nilai anies punya leluasa serang gagas dua kandidat lain karena usung visi ubah,"['vivacoid', 'anies', 'dominasi', 'debat', 'pertama', 'dengan', 'retorika', 'yang', 'baik', 'dia', 'nilai', 'anies', 'punya', 'leluasa', 'serang', 'gagas', 'dua', 'kandidat', 'lain', 'karena', 'usung', 'visi', 'ubah']"
di ganjar sama prabowo sama ada mantan napi korupsi yang jadi timses resmi nasional di anies ada ga sih,"['di', 'ganjar', 'sama', 'prabowo', 'sama', 'ada', 'mantan', 'napi', 'korupsi', 'yang', 'jadi', 'timses', 'resmi', 'nasional', 'di', 'anies', 'ada', 'tidak_sih']"
vivacoid lama debat langsung anies tunjuk gambar diri bagai orang yang ajar,"['vivacoid', 'lama', 'debat', 'langsung', 'anies', 'tunjuk', 'gambar', 'diri', 'bagai', 'orang', 'yang', 'ajar']"
hai bestie saat debat perdana capres cawapres kemaren malam sisa momen yang dramatis mana sang pangeran lupa kalau dia lagi ada di area mimbar debat bukan tanding bola apalagi sang pangeran sampai ngos ngosan awokawokawok gaco anies semalem ordal,"['hai', 'bestie', 'saat', 'debat', 'perdana', 'capres', 'cawapres', 'kemaren', 'malam', 'sisa', 'momen', 'yang', 'dramatis', 'mana', 'sang', 'pangeran', 'lupa', 'kalau', 'dia', 'lagi', 'ada', 'di', 'area', 'mimbar', 'debat', 'tidak_tanding', 'bola', 'apalagi', 'sang', 'pangeran', 'sampai', 'ngos', 'ngosan', 'awokawokawok', 'gaco', 'anies', 'semalem', 'ordal']"
anies si dablek habis uang negara triliun tapi tak bisa atas polusi jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views,"['anies', 'si', 'dablek', 'habis', 'uang', 'negara', 'triliun', 'tapi', 'tidak_bisa', 'atas', 'polusi', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']"
kewalorenzo bobby risakotta ayo bli ketut maen lah ke jakarta biar bisa rasa maju jakarta sejak pimpin anies,"['kewalorenzo', 'bobby', 'risakotta', 'ayo', 'bli', 'ketut', 'maen', 'lah', 'ke', 'jakarta', 'biar', 'bisa', 'rasa', 'maju', 'jakarta', 'sejak', 'pimpin', 'anies']"
vivacoid lama debat anies dapat tampil dengan tenang dalam jelas segala tanya atas masalah yang bahas dalam debat,"['vivacoid', 'lama', 'debat', 'anies', 'dapat', 'tampil', 'dengan', 'tenang', 'dalam', 'jelas', 'segala', 'tanya', 'atas', 'masalah', 'yang', 'bahas', 'dalam', 'debat']"
sobat anies partaisocmed partaisocmed kasih fakta nih,"['sobat', 'anies', 'partaisocmed', 'partaisocmed', 'kasih', 'fakta', 'nih']"
