negation,formalization
"['ganjar', 'pranowo', 'terima', 'kasih', 'karena', 'jadi', 'suara', 'bagi', 'rakyat', 'sama', 'kita', 'bisa', 'cipta', 'jakarta', 'yang', 'lebih', 'sejahtera', 'blanchefumee', 'gp', 'presiden']","['ganjar', 'pranowo', 'terima', 'kasih', 'karena', 'jadi', 'suara', 'bagi', 'rakyat', 'sama', 'kita', 'bisa', 'cipta', 'jakarta', 'yang', 'lebih', 'sejahtera', 'blanchefumee', 'gp', 'presiden']"
"['dukung', 'kami', 'selalu', 'untuk', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'hangat', 'keluarga', 'mereka', 'bawa', 'berkah', 'bagi', 'jatim', 'dan', 'indonesia', 'uno', 'unu', 'gp', 'presiden']","['dukung', 'kami', 'selalu', 'untuk', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'hangat', 'keluarga', 'mereka', 'bawa', 'berkah', 'bagi', 'jatim', 'dan', 'indonesia', 'uno', 'unu', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'hadir', 'rakorpimnas', 'inkindo', 'ganjar', 'dan', 'inkindo', 'siap', 'tuju', 'indonesia', 'emas']","['ganjar', 'pranowo', 'hadir', 'rakorpimnas', 'inkindo', 'ganjar', 'dan', 'inkindo', 'siap', 'tuju', 'indonesia', 'emas']"
"['ghurem', 'ra', 'ganjar', 'ra', 'nyoblos']","['ghurem', 'ra', 'ganjar', 'ra', 'mencoblos']"
"['mahfud', 'md', 'harap', 'kami', 'agar', 'semangat', 'sama', 'bisa', 'wujud', 'dalam', 'pimpin', 'sama', 'ganjar', 'pranowo', 'kimchiisfood', 'gp', 'presiden']","['mahfud', 'md', 'harap', 'kami', 'agar', 'semangat', 'sama', 'bisa', 'wujud', 'dalam', 'pimpin', 'sama', 'ganjar', 'pranowo', 'kimchiisfood', 'gp', 'presiden']"
"['jakarta', 'percaya', 'ganjar', 'pranowo', 'adalah', 'pimpin', 'yang', 'bisa', 'bawa', 'ubah', 'yang', 'ingin', 'rakyat', 'alecc', 'gp', 'presiden']","['jakarta', 'percaya', 'ganjar', 'pranowo', 'adalah', 'pimpin', 'yang', 'bisa', 'bawa', 'ubah', 'yang', 'ingin', 'rakyat', 'alecc', 'gp', 'presiden']"
"['moga', 'pimpin', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'bawa', 'indonesia', 'tuju', 'maju', 'dan', 'sejahtera', 'yang', 'lebih', 'baik', 'taslicaliyahyah', 'gp', 'presiden']","['moga', 'pimpin', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'bawa', 'indonesia', 'tuju', 'maju', 'dan', 'sejahtera', 'yang', 'lebih', 'baik', 'taslicaliyahyah', 'gp', 'presiden']"
"['dukung', 'penuh', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'jalan', 'politik', 'mereka', 'bawa', 'berkah', 'untuk', 'rakyat', 'jawa', 'timur', 'lluvmazelf', 'gp', 'presiden']","['dukung', 'penuh', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'jalan', 'politik', 'mereka', 'bawa', 'berkah', 'untuk', 'rakyat', 'jawa', 'timur', 'lluvmazelf', 'gp', 'presiden']"
"['dewasa', 'dalam', 'pimpin', 'keluarga', 'oleh', 'ganjar', 'pranowo', 'jadi', 'contoh', 'untuk', 'pimpin', 'dengan', 'bijaksana', 'di', 'tingkat', 'nasional', 'sabrinakxmal', 'gp', 'presiden']","['dewasa', 'dalam', 'pimpin', 'keluarga', 'oleh', 'ganjar', 'pranowo', 'jadi', 'contoh', 'untuk', 'pimpin', 'dengan', 'bijaksana', 'di', 'tingkat', 'nasional', 'sabrinakxmal', 'gp', 'presiden']"
"['ganjarpranowo', 'alamganjar', 'selamat', 'ulang', 'tahun', 'alam', 'ganjar', 'moga', 'hari', 'ini', 'penuh', 'bahagia', 'dan', 'canda', 'tawa']","['ganjarpranowo', 'alamganjar', 'selamat', 'ulang', 'tahun', 'alam', 'ganjar', 'moga', 'hari', 'ini', 'penuh', 'bahagia', 'dan', 'canda', 'tawa']"
"['dukung', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'tidak_hanya', 'asal', 'dari', 'yakin', 'politik', 'tetapi', 'juga', 'dari', 'hangat', 'dan', 'akrab', 'keluarga', 'mereka', 'si', 'puk', 'gp', 'presiden']","['dukung', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'tidak_hanya', 'asal', 'dari', 'yakin', 'politik', 'tetapi', 'juga', 'dari', 'hangat', 'dan', 'akrab', 'keluarga', 'mereka', 'si', 'puk', 'gp', 'presiden']"
"['denismalhotra', 'dan', 'semua', 'org', 'tau', 'kalo', 'mak', 'banteng', 'kirim', 'wakil', 'dik', 'gibran', 'dan', 'ganjar']","['denismalhotra', 'dan', 'semua', 'orang', 'tahu', 'kalau', 'ibu', 'banteng', 'kirim', 'wakil', 'dik', 'gibran', 'dan', 'ganjar']"
"['akrab', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'bukti', 'bahwa', 'sama', 'adalah', 'kunci', 'utama', 'hasil', 'shafiraamallia', 'gp', 'presiden']","['akrab', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'bukti', 'bahwa', 'sama', 'adalah', 'kunci', 'utama', 'hasil', 'shafiraamallia', 'gp', 'presiden']"
"['inspiratif', 'lihat', 'bagaimana', 'mas', 'ganjar', 'pranowo', 'jaga', 'imbang', 'antara', 'karier', 'politik', 'dan', 'harmonis', 'keluarga', 'strawberyy', 'gp', 'presiden']","['inspiratif', 'lihat', 'bagaimana', 'mas', 'ganjar', 'pranowo', 'jaga', 'imbang', 'antara', 'karier', 'politik', 'dan', 'harmonis', 'keluarga', 'strawberyy', 'gp', 'presiden']"
"['sama', 'keluarga', 'mas', 'ganjar', 'adalah', 'alat', 'yang', 'ampuh', 'untuk', 'bangun', 'hubung', 'saling', 'percaya', 'antara', 'perintah', 'dan', 'rakyat', 'jakarta', 'bigboyme', 'gp', 'presiden']","['sama', 'keluarga', 'mas', 'ganjar', 'adalah', 'alat', 'yang', 'ampuh', 'untuk', 'bangun', 'hubung', 'saling', 'percaya', 'antara', 'perintah', 'dan', 'rakyat', 'jakarta', 'bigboyme', 'gp', 'presiden']"
"['video', 'mesra', 'keluarga', 'ganjar', 'pranowo', 'buat', 'saya', 'makin', 'yakin', 'bahwa', 'dia', 'adalah', 'pimpin', 'yang', 'penuh', 'kasih', 'dan', 'perhati', 'tianalisaa', 'gp', 'presiden']","['video', 'mesra', 'keluarga', 'ganjar', 'pranowo', 'buat', 'saya', 'makin', 'yakin', 'bahwa', 'dia', 'adalah', 'pimpin', 'yang', 'penuh', 'kasih', 'dan', 'perhati', 'tianalisaa', 'gp', 'presiden']"
"['urrangawak', 'arsjadrasjid', 'antoniuscdn', 'seruanhl', 'koteka', 'anak', 'ogi', 'gus', 'raharjo', 'miduk', 'katanadia', 'mikuroq', 'semangat', 'terus', 'pak', 'ganjar', 'mahfud', 'moga', 'menang', 'ya', 'pak', 'ganjarpranowo']","['urrangawak', 'arsjadrasjid', 'antoniuscdn', 'seruanhl', 'koteka', 'anak', 'ogi', 'gus', 'raharjo', 'miduk', 'katanadia', 'mikuroq', 'semangat', 'terus', 'pak', 'ganjar', 'mahfud', 'moga', 'menang', 'iya', 'pak', 'ganjarpranowo']"
"['pak', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'adalah', 'kombinasi', 'yang', 'pas', 'untuk', 'pimpin', 'jakarta', 'dua', 'milik', 'komitmen', 'yang', 'kuat', 'hadap', 'penting', 'rakyat', 'berdesem', 'gp', 'presiden']","['pak', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'adalah', 'kombinasi', 'yang', 'pas', 'untuk', 'pimpin', 'jakarta', 'dua', 'milik', 'komitmen', 'yang', 'kuat', 'hadap', 'penting', 'rakyat', 'berdesem', 'gp', 'presiden']"
"['dukung', 'penuh', 'untuk', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'moga', 'sama', 'keluarga', 'jadi', 'landas', 'utama', 'pimpin', 'mereka', 'tjapkoentji', 'gp', 'presiden']","['dukung', 'penuh', 'untuk', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'moga', 'sama', 'keluarga', 'jadi', 'landas', 'utama', 'pimpin', 'mereka', 'tjapkoentji', 'gp', 'presiden']"
"['keluarga', 'adalah', 'fondasi', 'dari', 'buah', 'negara', 'yang', 'kuat', 'mesra', 'mas', 'ganjar', 'dengan', 'keluarga', 'cermin', 'pimpin', 'yang', 'humanis', 'dan', 'peduli', 'tanderkiting', 'gp', 'presiden']","['keluarga', 'adalah', 'fondasi', 'dari', 'buah', 'negara', 'yang', 'kuat', 'mesra', 'mas', 'ganjar', 'dengan', 'keluarga', 'cermin', 'pimpin', 'yang', 'humanis', 'dan', 'peduli', 'tanderkiting', 'gp', 'presiden']"
"['hasil', 'mas', 'ganjar', 'dalam', 'bangun', 'harmonis', 'keluarga', 'adalah', 'cermin', 'dari', 'pimpin', 'yang', 'bijaksana', 'dan', 'tanggung', 'jawab', 'terrificsuite', 'gp', 'presiden']","['hasil', 'mas', 'ganjar', 'dalam', 'bangun', 'harmonis', 'keluarga', 'adalah', 'cermin', 'dari', 'pimpin', 'yang', 'bijaksana', 'dan', 'tanggung', 'jawab', 'terrificsuite', 'gp', 'presiden']"
"['hasil', 'ganjar', 'dalam', 'bangun', 'keluarga', 'yang', 'harmonis', 'adalah', 'modal', 'besar', 'untuk', 'bangun', 'bangsa', 'urpreshes', 'gp', 'presiden']","['hasil', 'ganjar', 'dalam', 'bangun', 'keluarga', 'yang', 'harmonis', 'adalah', 'modal', 'besar', 'untuk', 'bangun', 'bangsa', 'urpreshes', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'mari', 'sama', 'sama', 'bangun', 'jakarta', 'yang', 'lebih', 'ramah', 'keluarga', 'dipinsideurmind', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'mari', 'sama', 'sama', 'bangun', 'jakarta', 'yang', 'lebih', 'ramah', 'keluarga', 'dipinsideurmind', 'gp', 'presiden']"
"['semangat', 'sama', 'keluarga', 'mas', 'ganjar', 'pranowo', 'bukti', 'bahwa', 'bahagia', 'pribadi', 'dapat', 'jadi', 'sumber', 'kuat', 'dalam', 'laksana', 'tugas', 'publik', 'vincentmarteen', 'gp', 'presiden']","['semangat', 'sama', 'keluarga', 'mas', 'ganjar', 'pranowo', 'bukti', 'bahwa', 'bahagia', 'pribadi', 'dapat', 'jadi', 'sumber', 'kuat', 'dalam', 'laksana', 'tugas', 'publik', 'vincentmarteen', 'gp', 'presiden']"
"['selamat', 'kepada', 'ganjar', 'pranowo', 'yang', 'harap', 'bawa', 'angin', 'segar', 'bagi', 'maju', 'jakarta', 'blebekbek', 'gp', 'presiden']","['selamat', 'kepada', 'ganjar', 'pranowo', 'yang', 'harap', 'bawa', 'angin', 'segar', 'bagi', 'maju', 'jakarta', 'blebekbek', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'tokoh', 'yang', 'satu', 'demi', 'penting', 'rakyat', 'dan', 'maju', 'bangsa', 'beifongishere', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'tokoh', 'yang', 'satu', 'demi', 'penting', 'rakyat', 'dan', 'maju', 'bangsa', 'beifongishere', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'tokoh', 'yang', 'bawa', 'energi', 'positif', 'dan', 'hangat', 'baik', 'di', 'keluarga', 'maupun', 'dalam', 'perintah', 'awmiawmiaw', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'tokoh', 'yang', 'bawa', 'energi', 'positif', 'dan', 'hangat', 'baik', 'di', 'keluarga', 'maupun', 'dalam', 'perintah', 'awmiawmiaw', 'gp', 'presiden']"
"['bangga', 'milik', 'pimpin', 'seperti', 'mas', 'ganjar', 'pranowo', 'yang', 'tidak_hanya', 'kualitas', 'di', 'bidang', 'politik', 'tapi', 'juga', 'di', 'dalam', 'keluarga', 'such', 'gp', 'presiden']","['bangga', 'milik', 'pimpin', 'seperti', 'mas', 'ganjar', 'pranowo', 'yang', 'tidak_hanya', 'kualitas', 'di', 'bidang', 'politik', 'tapi', 'juga', 'di', 'dalam', 'keluarga', 'such', 'gp', 'presiden']"
"['sukses', 'untuk', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'moga', 'jakarta', 'dapat', 'nikmat', 'bijak', 'yang', 'pro', 'rakyat', 'kelfin', 'gp', 'presiden']","['sukses', 'untuk', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'moga', 'jakarta', 'dapat', 'nikmat', 'bijak', 'yang', 'profesional', 'rakyat', 'kelfin', 'gp', 'presiden']"
"['sama', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'cermin', 'dari', 'hidup', 'yang', 'imbang', 'dan', 'kualitas', 'begundal', 'gp', 'presiden']","['sama', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'cermin', 'dari', 'hidup', 'yang', 'imbang', 'dan', 'kualitas', 'begundal', 'gp', 'presiden']"
"['mahfud', 'md', 'dan', 'pak', 'ganjar', 'pranowo', 'moga', 'kerja', 'keras', 'kalian', 'bawa', 'bahagia', 'dan', 'makmur', 'untuk', 'jakarta', 'blacksweet', 'gp', 'presiden']","['mahfud', 'md', 'dan', 'pak', 'ganjar', 'pranowo', 'moga', 'kerja', 'keras', 'kalian', 'bawa', 'bahagia', 'dan', 'makmur', 'untuk', 'jakarta', 'blacksweet', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'adalah', 'pimpin', 'yang', 'akan', 'bawa', 'ceria', 'dan', 'hangat', 'seperti', 'dalam', 'keluarga', 'ke', 'dalam', 'hari', 'warga', 'jakarta', 'dumboyz', 'gp', 'presiden']","['ganjar', 'pranowo', 'adalah', 'pimpin', 'yang', 'akan', 'bawa', 'ceria', 'dan', 'hangat', 'seperti', 'dalam', 'keluarga', 'ke', 'dalam', 'hari', 'warga', 'jakarta', 'dumboyz', 'gp', 'presiden']"
"['rstmbcl', 'semangat', 'ganjar', 'pasti', 'nang', 'di']","['rstmbcl', 'semangat', 'ganjar', 'pasti', 'nang', 'di']"
"['keluarga', 'yang', 'bahagia', 'adalah', 'aset', 'harga', 'dan', 'ganjar', 'pranowo', 'bukti', 'bahwa', 'itu', 'adalah', 'kunci', 'pimpin', 'yang', 'sukses', 'emmvirly', 'gp', 'presiden']","['keluarga', 'yang', 'bahagia', 'adalah', 'aset', 'harga', 'dan', 'ganjar', 'pranowo', 'bukti', 'bahwa', 'itu', 'adalah', 'kunci', 'pimpin', 'yang', 'sukses', 'emmvirly', 'gp', 'presiden']"
"['sosok', 'calon', 'presiden', 'yang', 'bawa', 'dekat', 'dengan', 'rakyat', 'seperti', 'yang', 'tunjuk', 'ganjar', 'pranowo', 'patut', 'apresiasi', 'upilosophy', 'gp', 'presiden']","['sosok', 'calon', 'presiden', 'yang', 'bawa', 'dekat', 'dengan', 'rakyat', 'seperti', 'yang', 'tunjuk', 'ganjar', 'pranowo', 'patut', 'apresiasi', 'upilosophy', 'gp', 'presiden']"
"['warga', 'dki', 'jakarta', 'yakin', 'bahwa', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'akan', 'bawa', 'hangat', 'pimpin', 'yang', 'perlu', 'condenseduyu', 'gp', 'presiden']","['warga', 'dki', 'jakarta', 'yakin', 'bahwa', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'akan', 'bawa', 'hangat', 'pimpin', 'yang', 'perlu', 'condenseduyu', 'gp', 'presiden']"
"['mesra', 'keluarga', 'ganjar', 'pranowo', 'jadi', 'energi', 'positif', 'yang', 'dapat', 'gerak', 'ubah', 'positif', 'di', 'jatim', 'theyluvpatete', 'gp', 'presiden']","['mesra', 'keluarga', 'ganjar', 'pranowo', 'jadi', 'energi', 'positif', 'yang', 'dapat', 'gerak', 'ubah', 'positif', 'di', 'jatim', 'theyluvpatete', 'gp', 'presiden']"
"['bapak', 'mahfud', 'md', 'moga', 'semangat', 'keluarga', 'dapat', 'resap', 'dalam', 'tiap', 'putus', 'dan', 'bijak', 'sama', 'ganjar', 'pranowo', 'kkimijimi', 'gp', 'presiden']","['bapak', 'mahfud', 'md', 'moga', 'semangat', 'keluarga', 'dapat', 'resap', 'dalam', 'tiap', 'putus', 'dan', 'bijak', 'sama', 'ganjar', 'pranowo', 'kkimijimi', 'gp', 'presiden']"
"['dukung', 'untuk', 'ganjar', 'pranowo', 'tidak_hanya', 'dari', 'segi', 'pimpin', 'tapi', 'juga', 'bagai', 'contoh', 'ayah', 'yang', 'baik', 'urfunniestboi', 'gp', 'presiden']","['dukung', 'untuk', 'ganjar', 'pranowo', 'tidak_hanya', 'dari', 'segi', 'pimpin', 'tapi', 'juga', 'bagai', 'contoh', 'ayah', 'yang', 'baik', 'urfunniestboi', 'gp', 'presiden']"
"['akrab', 'keluarga', 'mas', 'ganjar', 'pranowo', 'adalah', 'cermin', 'dari', 'pimpin', 'yang', 'inklusif', 'dan', 'peduli', 'hadap', 'seluruh', 'lapis', 'masyarakat', 'tapirepaldy', 'gp', 'presiden']","['akrab', 'keluarga', 'mas', 'ganjar', 'pranowo', 'adalah', 'cermin', 'dari', 'pimpin', 'yang', 'inklusif', 'dan', 'peduli', 'hadap', 'seluruh', 'lapis', 'masyarakat', 'tapirepaldy', 'gp', 'presiden']"
"['mahfud', 'md', 'kami', 'percaya', 'alam', 'akan', 'jadi', 'aset', 'harga', 'untuk', 'indonesia', 'ganjar', 'pranowo', 'lengkap', 'dengan', 'peka', 'hadap', 'butuh', 'rakyat', 'blahajsharkyy', 'gp', 'presiden']","['mahfud', 'md', 'kami', 'percaya', 'alam', 'akan', 'jadi', 'aset', 'harga', 'untuk', 'indonesia', 'ganjar', 'pranowo', 'lengkap', 'dengan', 'peka', 'hadap', 'butuh', 'rakyat', 'blahajsharkyy', 'gp', 'presiden']"
"['akrab', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'modal', 'sosial', 'yang', 'harga', 'untuk', 'cipta', 'hidup', 'yang', 'lebih', 'baik', 'bagi', 'rakyat', 'ryanpradityaa', 'gp', 'presiden']","['akrab', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'modal', 'sosial', 'yang', 'harga', 'untuk', 'cipta', 'hidup', 'yang', 'lebih', 'baik', 'bagi', 'rakyat', 'ryanpradityaa', 'gp', 'presiden']"
"['pimpin', 'mas', 'ganjar', 'pranowo', 'adalah', 'bukti', 'bahwa', 'orang', 'pimpin', 'sejati', 'adalah', 'yang', 'paham', 'penting', 'sama', 'dalam', 'keluarga', 'suiczidal', 'gp', 'presiden']","['pimpin', 'mas', 'ganjar', 'pranowo', 'adalah', 'bukti', 'bahwa', 'orang', 'pimpin', 'sejati', 'adalah', 'yang', 'paham', 'penting', 'sama', 'dalam', 'keluarga', 'suiczidal', 'gp', 'presiden']"
"['semangat', 'dan', 'dedikasi', 'ganjar', 'pranowo', 'dalam', 'layan', 'masyarakat', 'adalah', 'modal', 'besar', 'untuk', 'pimpin', 'yang', 'efektif', 'dwipuspita', 'gp', 'presiden']","['semangat', 'dan', 'dedikasi', 'ganjar', 'pranowo', 'dalam', 'layan', 'masyarakat', 'adalah', 'modal', 'besar', 'untuk', 'pimpin', 'yang', 'efektif', 'dwipuspita', 'gp', 'presiden']"
